County,Date Range,Cases,"Cases Per 10,000 Residents","Cases Per 100,000 Residents",Deaths
Alamance,Today,19010,1121,11215,289
Alexander,Today,4441,1184,11844,85
Alleghany,Today,1095,983,9832,5
Anson,Today,2635,1078,10779,56
Ashe,Today,2248,826,8264,45
Avery,Today,2161,1231,12308,21
Beaufort,Today,4770,1015,10150,101
Bertie,Today,1793,946,9463,45
Bladen,Today,3478,1063,10629,43
Brunswick,Today,9332,653,6534,155
Buncombe,Today,18076,692,6921,325
Burke,Today,10151,1122,11218,162
Cabarrus,Today,22320,1031,10312,262
Caldwell,Today,9523,1159,11588,110
Camden,Today,694,639,6386,6
Carteret,Today,5251,756,7558,55
Caswell,Today,2196,972,9715,30
Catawba,Today,19799,1241,12409,312
Chatham,Today,4749,638,6377,89
Cherokee,Today,2628,918,9185,37
Chowan,Today,1486,1066,10658,34
Clay,Today,900,801,8014,18
Cleveland,Today,11689,1193,11934,228
Columbus,Today,6450,1162,11620,152
Craven,Today,9462,926,9264,126
Cumberland,Today,30195,900,9000,321
Currituck,Today,1578,568,5684,16
Dare,Today,2183,590,5899,10
Davidson,Today,17014,1015,10151,198
Davie,Today,4175,974,9744,40
Duplin,Today,6362,1083,10831,139
Durham,Today,25715,800,7999,231
Edgecombe,Today,5701,1108,11076,113
Forsyth,Today,36992,968,9676,420
Franklin,Today,7046,1011,10111,54
Gaston,Today,27181,1211,12106,443
Gates,Today,752,650,6504,13
Graham,Today,658,780,7795,13
Granville,Today,5983,990,9899,83
Greene,Today,2419,1148,11481,47
Guilford,Today,48626,905,9052,722
Halifax,Today,5680,1136,11358,114
Harnett,Today,12027,884,8845,181
Haywood,Today,4497,722,7216,98
Henderson,Today,10314,878,8784,165
Hertford,Today,2112,892,8920,64
Hoke,Today,4894,886,8860,56
Hyde,Today,671,1359,13591,9
Iredell,Today,19260,1059,10594,236
Jackson,Today,3667,835,8346,56
Johnston,Today,22246,1063,10627,236
Jones,Today,901,957,9566,28
Lee,Today,6145,995,9947,83
Lenoir,Today,6262,1119,11192,124
Lincoln,Today,10267,1192,11923,86
McDowell,Today,5301,1159,11585,63
Macon,Today,3160,881,8813,41
Madison,Today,1605,738,7378,43
Martin,Today,2319,1033,10334,45
Mecklenburg,Today,114441,1031,10307,976
Mitchell,Today,1480,989,9890,16
Montgomery,Today,3382,1245,12446,97
Moore,Today,9045,897,8966,192
Nash,Today,11682,1239,12388,196
New Hanover,Today,19533,833,8331,175
Northampton,Today,1899,975,9747,61
Onslow,Today,17842,901,9014,152
Orange,Today,8587,578,5783,101
Pamlico,Today,1121,881,8809,13
Pasquotank,Today,3444,865,8648,84
Pender,Today,5554,881,8807,71
Perquimans,Today,1036,770,7695,12
Person,Today,3503,887,8871,71
Pitt,Today,20475,1133,11328,96
Polk,Today,1500,724,7238,30
Randolph,Today,15332,1067,10672,231
Richmond,Today,4802,1071,10712,97
Robeson,Today,16833,1289,12887,273
Rockingham,Today,8091,889,8890,151
Rowan,Today,17202,1211,12107,310
Rutherford,Today,7439,1110,11098,216
Sampson,Today,8141,1281,12814,114
Scotland,Today,3896,1119,11188,88
Stanly,Today,7938,1264,12639,137
Stokes,Today,4236,929,9291,81
Surry,Today,8399,1170,11701,170
Swain,Today,1207,846,8458,18
Transylvania,Today,2390,695,6951,33
Tyrrell,Today,326,812,8118,6
Union,Today,24857,1036,10363,226
Vance,Today,4991,1121,11207,89
Wake,Today,89472,805,8048,735
Warren,Today,1815,920,9199,20
Washington,Today,1136,981,9810,32
Watauga,Today,5013,892,8924,33
Wayne,Today,11466,931,9312,246
Wilkes,Today,6938,1014,10141,117
Wilson,Today,9878,1208,12076,181
Yadkin,Today,4135,1098,10978,55
Yancey,Today,1641,908,9082,28
