County,County ,Dose 1 Administered - Federal,Dose 1 Administered - NC Providers,Dose 2 Administered - Federal,Dose 2 Administered - NC Providers,Total Doses Administered
Robeson,Robeson,6369,28948,4615,25873,65805
Perquimans,Perquimans,545,4478,410,3906,9339
Johnston,Johnston,19690,62351,16117,54532,152690
Randolph,Randolph,11383,35199,8944,32278,87804
Hyde,Hyde,118,2702,96,2412,5328
Alleghany,Alleghany,933,4283,768,3490,9474
Duplin,Duplin,4082,13736,3202,12298,33318
Gates,Gates,310,3487,235,3058,7090
Haywood,Haywood,5504,22812,4650,19662,52628
Stanly,Stanly,3747,16896,2919,15424,38986
Missing / Out of State,Missing / Out of State,50651,98561,39970,82917,272099
Wilson,Wilson,6584,24919,4774,22407,58684
Tyrrell,Tyrrell,88,1406,75,1260,2829
Wayne,Wayne,9092,30840,6781,28430,75143
Montgomery,Montgomery,1598,7892,1146,7231,17867
Lenoir,Lenoir,5351,17491,4314,15594,42750
Scotland,Scotland,2491,10771,1711,10066,25039
Alamance,Alamance,14693,62658,11812,56619,145782
Camden,Camden,398,3092,288,2646,6424
Greene,Greene,1320,7159,1016,5965,15460
Rowan,Rowan,11507,33288,9127,30565,84487
Northampton,Northampton,738,6910,537,6288,14473
Wilkes,Wilkes,5314,18243,4114,16412,44083
Lincoln,Lincoln,9375,23923,7411,22159,62868
Caldwell,Caldwell,5447,24753,3882,21926,56008
Polk,Polk,1262,7051,1057,6570,15940
Surry,Surry,6820,22175,5638,20759,55392
Macon,Macon,1706,15183,1282,12162,30333
Clay,Clay,803,3192,726,2985,7706
Yadkin,Yadkin,2465,11464,1952,10369,26250
Onslow,Onslow,12533,32138,9513,28613,82797
Richmond,Richmond,2521,13440,1759,12237,29957
Buncombe,Buncombe,32302,104577,28397,90638,255914
Union,Union,27859,70354,23264,63143,184620
Cabarrus,Cabarrus,26563,61442,22512,54682,165199
Washington,Washington,1118,3476,865,3024,8483
Harnett,Harnett,9459,30502,7038,26703,73702
Burke,Burke,5873,27465,4380,25353,63071
Granville,Granville,5900,20754,4729,18998,50381
Gaston,Gaston,21970,60550,17455,53928,153903
Edgecombe,Edgecombe,3570,14939,2635,13006,34150
Watauga,Watauga,3143,25218,2626,18653,49640
Hoke,Hoke,2916,9401,1918,8138,22373
Bertie,Bertie,909,7333,681,6313,15236
Person,Person,3032,13911,2217,12903,32063
Beaufort,Beaufort,2771,17700,2137,15462,38070
Catawba,Catawba,16669,48895,13161,45113,123838
Jackson,Jackson,1944,15065,1506,12766,31281
Wake,Wake,172349,468446,153669,409857,1204321
Cleveland,Cleveland,7613,28195,5756,26050,67614
Sampson,Sampson,4196,19208,3241,16331,42976
Columbus,Columbus,2948,14991,2156,13452,33547
Caswell,Caswell,942,7930,603,7305,16780
Yancey,Yancey,585,6629,411,5980,13605
Lee,Lee,5703,19604,4475,18042,47824
Hertford,Hertford,1401,7209,1086,6277,15973
Rockingham,Rockingham,7175,28425,5379,25911,66890
Mecklenburg,Mecklenburg,152506,381414,126485,330051,990456
Carteret,Carteret,7150,25074,5807,23206,61237
Swain,Swain,745,3741,575,3481,8542
Avery,Avery,892,6926,701,5895,14414
Vance,Vance,4232,14925,3269,13452,35878
Halifax,Halifax,2512,17819,1796,16232,38359
Rutherford,Rutherford,3076,18214,2474,16235,39999
Nash,Nash,10040,31496,8110,27512,77158
Ashe,Ashe,2022,9842,1604,7814,21282
Stokes,Stokes,4271,12227,3377,10577,30452
Graham,Graham,348,2394,238,2174,5154
Pender,Pender,5218,19239,4102,17026,45585
Craven,Craven,8309,33222,6557,31115,79203
Guilford,Guilford,59202,198850,48501,180466,487019
Madison,Madison,817,9154,670,7505,18146
Chatham,Chatham,9126,27359,7624,25261,69370
Pitt,Pitt,15103,59173,12666,49185,136127
Moore,Moore,9566,37833,8241,35367,91007
Forsyth,Forsyth,43280,137930,36451,114144,331805
Iredell,Iredell,22145,47515,18420,44334,132414
Transylvania,Transylvania,2328,13400,1968,10045,27741
Martin,Martin,1250,7748,918,6699,16615
Warren,Warren,1431,7299,1180,6781,16691
Jones,Jones,594,3121,421,2914,7050
Davie,Davie,4449,14374,3715,12322,34860
Cumberland,Cumberland,26376,66663,19001,61357,173397
Mcdowell,Mcdowell,1778,16167,1278,14528,33751
Cherokee,Cherokee,1496,8527,1126,7924,19073
Chowan,Chowan,933,5507,829,4454,11723
Orange,Orange,18246,77094,16912,66266,178518
Alexander,Alexander,1345,11804,1030,10793,24972
Durham,Durham,36577,142417,31471,124213,334678
Henderson,Henderson,9803,43888,8166,37000,98857
Pasquotank,Pasquotank,2667,13601,2008,11533,29809
Pamlico,Pamlico,627,5425,414,5069,11535
Mitchell,Mitchell,600,5028,343,4343,10314
Currituck,Currituck,1272,8711,952,7526,18461
Brunswick,Brunswick,14928,59233,12891,53068,140120
Davidson,Davidson,13804,45336,11050,40559,110749
Franklin,Franklin,7624,20515,6244,18807,53190
Dare,Dare,3318,19494,2808,16399,42019
Bladen,Bladen,2017,9744,1333,8843,21937
New Hanover,New Hanover,30130,88327,25834,75785,220076
Anson,Anson,1178,7254,885,6680,15997
